price,locality,property_type,bedrooms,brand_new,furnished_status,builder,project_name,user_type,floor,date_posted,move_in,area_sqft,price_persqft
4481000.0,Mallampet,Apartment,2,New Property,Unfurnished,V and V Properties,,Agent,1,2021-08-10,2021-08-01,1130.0,3965.4867256637167
3848900.0,Bhanoor,Apartment,2,New Property,Unfurnished,,,Agent,6,2021-08-17,2021-08-01,308.0,12496.42857142857
2300000.0,Patancheru,Apartment,2,New Property,Unfurnished,One Estates India Pvt Ltd,,Agent,1,2021-08-18,2025-01-01,1150.0,2000.0
9500000.0,Madhapur,Apartment,3,Resale,Furnished,SV Reality,,Agent,2,2021-07-17,2021-08-01,1400.0,6785.714285714285
8300000.0,Manikonda,Apartment,2,New Property,Unfurnished,Smart Stone,Ambience Courtyard,Agent,6,2021-08-16,2023-12-01,1065.0,7793.427230046948
8900000.0,Gachibowli,Apartment,2,New Property,Unfurnished,S S Properties,Jains Carlton Creek,Agent,13,2021-07-30,2021-08-01,1053.0,8452.041785375119
4500000.0,Kompally,Apartment,2,New Property,Semi-Furnished,,,Agent,Lower Basement,2021-08-13,2023-12-01,1500.0,3000.0
2242500.0,Patancheru,Apartment,1,New Property,Unfurnished,Tranquillo Projects and Holdings Pvt. Ltd.,MPR Urban City,Builder,5,2021-07-29,2022-11-01,650.0,3450.0
3500000.0,Krishna Reddy Pet,Apartment,2,New Property,Semi-Furnished,,,Agent,1,2021-08-01,2021-08-01,920.0,3804.3478260869565
13000000.0,Ibrahimpatnam Road,Villa,3,New Property,Furnished,J H Estates,,Agent,,2021-08-16,2021-08-01,2900.0,4482.758620689655
4000000.0,Kollur,Apartment,2,New Property,Unfurnished,,,Builder,10,2021-08-09,2023-12-01,1260.0,3174.6031746031745
7000000.0,,Apartment,2,New Property,Unfurnished,,,Builder,4,2021-08-17,2021-08-01,1308.0,5351.681957186544
5200000.0,Kollur,Apartment,2,New Property,Unfurnished,VK Promoters,,Builder,11,2021-08-11,2023-12-01,1240.0,4193.548387096775
9124500.0,Pragathi Nagar Kukatpally,Apartment,3,New Property,Unfurnished,Rudra Construction,Dhivi,Builder,,2021-07-22,2021-12-01,1659.0,5500.0
5343900.0,Bandlaguda Jagir,Apartment,2,New Property,Unfurnished,Credon Constructions,Balaji Elegance,Builder,,2021-07-15,2021-12-01,1137.0,4700.0
11212500.0,Begumpet,Apartment,3,New Property,Unfurnished,Mahaveer Group,Mahaveer Palmgrove,Builder,5,2021-08-18,2023-06-01,1495.0,7500.0
5500000.0,Narsingi,Apartment,2,New Property,Unfurnished,Sree Suryaa Developers,Aditya Nest,Builder,,2021-06-27,2021-12-01,900.0,6111.111111111111
11500000.0,Chandanagar ,Apartment,3,New Property,Unfurnished,SNS Associates,SNS Homes Suraksha Enclave,Builder,,2021-04-29,2021-08-01,2050.0,5609.756097560976
14500000.0,Appa junction,Apartment,3,New Property,Unfurnished,Indis,PBEL City,Owner,13,2021-08-17,2021-08-01,1949.0,7439.712673165726
3600000.0,Quthbullapur ,Apartment,2,Resale,Unfurnished,Modi Builders,Silver Springs,Owner,5,2021-08-14,2021-08-01,840.0,4285.714285714285
5250000.0,Mallapur,Residential House,1,Resale,Unfurnished,,,Owner,Upper Basement,2021-08-10,2021-08-01,1300.0,4038.4615384615386
8100000.0,Lingampally-Serilingampally ,Apartment,3,Resale,Unfurnished,,,Owner,4,2021-08-18,2021-08-01,1410.0,5744.68085106383
5500000.0,Kukatpally ,Apartment,2,Resale,Semi-Furnished,,,Owner,6,2021-08-18,2021-08-01,1115.0,4932.735426008969
11000000.0,Beeramguda Ramachandra Puram ,Villa,3,New Property,Unfurnished,,,Agent,,2021-08-14,2021-08-01,2000.0,5500.0
7500000.0,,Apartment,3,Resale,Unfurnished,9 Star Homes,,Builder,1,2021-08-06,2021-08-01,1700.0,4411.764705882353
3400000.0,Patancheru,Apartment,2,New Property,Unfurnished,Karthikeya Constructions,Vigneshwara Nilayam,Builder,,2021-03-24,,1000.0,3400.0
3300000.0,Maruthi Nagar-Dr A.S. Rao Nagar,Apartment,1,Resale,Unfurnished,,,Owner,2,2021-08-15,2021-08-01,665.0,4962.4060150375935
9619200.0,Khaja Guda,Apartment,3,Resale,Semi-Furnished,,HIG Chitrapuri HILLS,Owner,12,2021-08-15,2021-08-01,1670.0,5760.0
